Theta [deg.]     Phi[deg.]       Abs(Gain)[dBi]      Abs(Theta)[dBi]   Phase(Theta)[deg.]     Abs(Phi)[dBi]      Phase(Phi)[deg.]      Ax.Ratio[dB]    
 107.000         180.000            1.249e+00          -2.724e+01             101.683           1.243e+00             291.878           4.000e+01     
 106.000         180.000            1.213e+00          -2.722e+01             102.155           1.207e+00             291.775           4.000e+01     
 105.000         180.000            1.179e+00          -2.720e+01             102.629           1.173e+00             291.670           4.000e+01     
 104.000         180.000            1.145e+00          -2.718e+01             103.106           1.139e+00             291.561           4.000e+01     
 103.000         180.000            1.112e+00          -2.717e+01             103.584           1.106e+00             291.448           4.000e+01     
 102.000         180.000            1.081e+00          -2.715e+01             104.065           1.074e+00             291.332           4.000e+01     
 101.000         180.000            1.050e+00          -2.714e+01             104.547           1.043e+00             291.213           4.000e+01     
 100.000         180.000            1.020e+00          -2.713e+01             105.030           1.013e+00             291.090           4.000e+01     
  99.000         180.000            9.906e-01          -2.713e+01             105.514           9.839e-01             290.963           4.000e+01     
  98.000         180.000            9.626e-01          -2.712e+01             105.999           9.558e-01             290.833           4.000e+01     
  97.000         180.000            9.356e-01          -2.711e+01             106.485           9.288e-01             290.699           4.000e+01     
  96.000         180.000            9.097e-01          -2.711e+01             106.970           9.028e-01             290.561           4.000e+01     
  95.000         180.000            8.848e-01          -2.711e+01             107.455           8.779e-01             290.419           4.000e+01     
  94.000         180.000            8.610e-01          -2.711e+01             107.940           8.541e-01             290.273           4.000e+01     
  93.000         180.000            8.384e-01          -2.711e+01             108.424           8.314e-01             290.123           4.000e+01     
  92.000         180.000            8.168e-01          -2.711e+01             108.907           8.098e-01             289.969           4.000e+01     
  91.000         180.000            7.964e-01          -2.712e+01             109.388           7.894e-01             289.812           4.000e+01     
  90.000         180.000            7.771e-01          -2.712e+01             109.868           7.700e-01             289.650           4.000e+01     
  89.000         180.000            7.590e-01          -2.713e+01             110.346           7.519e-01             289.484           4.000e+01     
  88.000         180.000            7.420e-01          -2.714e+01             110.821           7.349e-01             289.314           4.000e+01     
  87.000         180.000            7.262e-01          -2.715e+01             111.295           7.191e-01             289.140           4.000e+01     
  86.000         180.000            7.115e-01          -2.716e+01             111.765           7.045e-01             288.962           4.000e+01     
  85.000         180.000            6.981e-01          -2.718e+01             112.233           6.910e-01             288.780           4.000e+01     
  84.000         180.000            6.858e-01          -2.719e+01             112.697           6.787e-01             288.595           4.000e+01     
  83.000         180.000            6.746e-01          -2.721e+01             113.158           6.676e-01             288.405           4.000e+01     
  82.000         180.000            6.647e-01          -2.723e+01             113.616           6.576e-01             288.212           4.000e+01     
  81.000         180.000            6.559e-01          -2.725e+01             114.069           6.489e-01             288.014           4.000e+01     
  80.000         180.000            6.483e-01          -2.727e+01             114.518           6.413e-01             287.813           4.000e+01     
  79.000         180.000            6.418e-01          -2.729e+01             114.963           6.348e-01             287.608           4.000e+01     
  78.000         180.000            6.365e-01          -2.732e+01             115.404           6.296e-01             287.400           4.000e+01     
  77.000         180.000            6.324e-01          -2.735e+01             115.839           6.254e-01             287.188           4.000e+01     
  76.000         180.000            6.293e-01          -2.738e+01             116.270           6.224e-01             286.973           4.000e+01     
  75.000         180.000            6.274e-01          -2.741e+01             116.696           6.206e-01             286.754           4.000e+01     
  74.000         180.000            6.266e-01          -2.744e+01             117.116           6.198e-01             286.532           4.000e+01     
