Theta[deg.]      Phi[deg.]        Abs(Gain)[dBi]      Abs(Theta)[dBi]     Phase(Theta)[deg.]  Abs(Phi)[dBi]       Phase(Phi)[deg.]    Ax.Ratio[dB]    
 104.000         270.000           -2.533e+01          -2.557e+01             313.890          -3.808e+01             338.589           2.049e+01     
 103.000         270.000           -2.592e+01          -2.619e+01             311.517          -3.809e+01             338.466           1.921e+01     
 102.000         270.000           -2.656e+01          -2.687e+01             309.066          -3.809e+01             338.335           1.793e+01     
 101.000         270.000           -2.726e+01          -2.763e+01             306.476          -3.809e+01             338.195           1.661e+01     
 100.000         270.000           -2.804e+01          -2.849e+01             303.661          -3.810e+01             338.046           1.522e+01     
  99.000         270.000           -2.890e+01          -2.945e+01             300.494          -3.810e+01             337.889           1.373e+01     
  98.000         270.000           -2.985e+01          -3.056e+01             296.781          -3.810e+01             337.722           1.210e+01     
  97.000         270.000           -3.091e+01          -3.182e+01             292.208          -3.810e+01             337.546           1.030e+01     
  96.000         270.000           -3.205e+01          -3.328e+01             286.246          -3.810e+01             337.361           8.263e+00     
  95.000         270.000           -3.324e+01          -3.495e+01             277.971          -3.811e+01             337.166           5.924e+00     
  94.000         270.000           -3.438e+01          -3.677e+01             265.798          -3.811e+01             336.962           3.209e+00     
  93.000         270.000           -3.525e+01          -3.843e+01             247.613          -3.811e+01             336.748           3.457e-01     
  92.000         270.000           -3.558e+01          -3.913e+01             223.408          -3.811e+01             336.524           3.753e+00     
  91.000         270.000           -3.519e+01          -3.830e+01             199.334          -3.811e+01             336.292           8.086e+00     
  90.000         270.000           -3.425e+01          -3.655e+01             181.461          -3.810e+01             336.049           1.309e+01     
  89.000         270.000           -3.302e+01          -3.463e+01             169.724          -3.810e+01             335.798           1.896e+01     
  88.000         270.000           -3.173e+01          -3.286e+01             161.974          -3.810e+01             335.537           2.650e+01     
  87.000         270.000           -3.048e+01          -3.131e+01             156.662          -3.810e+01             335.267           4.000e+01     
  86.000         270.000           -2.933e+01          -2.995e+01             152.872          -3.809e+01             334.988           3.804e+01     
  85.000         270.000           -2.827e+01          -2.875e+01             150.084          -3.809e+01             334.700           3.218e+01     
  84.000         270.000           -2.731e+01          -2.769e+01             147.988          -3.809e+01             334.403           3.018e+01     
  83.000         270.000           -2.643e+01          -2.674e+01             146.397          -3.808e+01             334.098           2.940e+01     
  82.000         270.000           -2.564e+01          -2.589e+01             145.189          -3.808e+01             333.784           2.919e+01     
  81.000         270.000           -2.491e+01          -2.512e+01             144.282          -3.807e+01             333.463           2.931e+01     
