Theta[deg.]      Phi[deg.]       Abs(Gain)[dBi]      Abs(Theta)[dBi]     Phase(Theta)[deg.]   Abs(Phi)[dBi]     Phase(Phi)[deg.]      Ax.Ratio[dB]    
 153.000         180.000            1.137e+00          -3.781e+01             336.277           1.136e+00             264.453           3.939e+01     
 152.000         180.000            1.094e+00          -3.789e+01             336.117           1.093e+00             264.679           3.945e+01     
 151.000         180.000            1.050e+00          -3.799e+01             335.981           1.049e+00             264.912           3.952e+01     
 150.000         180.000            1.004e+00          -3.810e+01             335.872           1.004e+00             265.152           3.960e+01     
 149.000         180.000            9.586e-01          -3.822e+01             335.790           9.581e-01             265.398           3.970e+01     
 148.000         180.000            9.120e-01          -3.836e+01             335.737           9.115e-01             265.652           3.981e+01     
 147.000         180.000            8.646e-01          -3.851e+01             335.715           8.641e-01             265.911           3.993e+01     
 146.000         180.000            8.166e-01          -3.868e+01             335.727           8.161e-01             266.177           4.000e+01     
 145.000         180.000            7.680e-01          -3.887e+01             335.776           7.676e-01             266.449           4.000e+01     
 144.000         180.000            7.190e-01          -3.908e+01             335.866           7.185e-01             266.727           4.000e+01     
 143.000         180.000            6.694e-01          -3.931e+01             336.000           6.690e-01             267.010           4.000e+01     
 142.000         180.000            6.195e-01          -3.956e+01             336.184           6.191e-01             267.298           4.000e+01     
 141.000         180.000            5.693e-01          -3.983e+01             336.423           5.689e-01             267.591           4.000e+01     
 140.000         180.000            5.189e-01          -4.012e+01             336.727           5.185e-01             267.889           4.000e+01     
 139.000         180.000            4.683e-01          -4.045e+01             337.103           4.679e-01             268.191           4.000e+01     
 138.000         180.000            4.176e-01          -4.080e+01             337.564           4.172e-01             268.497           4.000e+01     
 137.000         180.000            3.668e-01          -4.118e+01             338.124           3.665e-01             268.806           4.000e+01     
 136.000         180.000            3.162e-01          -4.160e+01             338.801           3.159e-01             269.118           4.000e+01     
 135.000         180.000            2.656e-01          -4.206e+01             339.618           2.653e-01             269.433           4.000e+01     
 134.000         180.000            2.152e-01          -4.256e+01             340.605           2.150e-01             269.749           4.000e+01     
 133.000         180.000            1.651e-01          -4.311e+01             341.800           1.649e-01             270.068           4.000e+01     
 132.000         180.000            1.152e-01          -4.371e+01             343.255           1.150e-01             270.388           4.000e+01     
 131.000         180.000            6.576e-02          -4.437e+01             345.039           6.560e-02             270.709           4.000e+01     
 130.000         180.000            1.673e-02          -4.510e+01             347.248           1.659e-02             271.030           4.000e+01     
 129.000         180.000           -3.181e-02          -4.590e+01             350.013          -3.192e-02             271.350           4.000e+01     
 128.000         180.000           -7.980e-02          -4.677e+01             353.520          -7.989e-02             271.670           4.000e+01     
 127.000         180.000           -1.272e-01          -4.772e+01             358.029          -1.272e-01             271.989           4.000e+01     
 126.000         180.000           -1.739e-01          -4.874e+01               3.900          -1.740e-01             272.305           4.000e+01     
 125.000         180.000           -2.199e-01          -4.977e+01              11.595          -2.199e-01             272.619           4.000e+01     
 124.000         180.000           -2.651e-01          -5.073e+01              21.593          -2.652e-01             272.930           4.000e+01     
 123.000         180.000           -3.096e-01          -5.144e+01              34.089          -3.096e-01             273.238           4.000e+01     
 122.000         180.000           -3.532e-01          -5.171e+01              48.452          -3.532e-01             273.541           4.000e+01     
 121.000         180.000           -3.959e-01          -5.139e+01              63.045          -3.959e-01             273.839           4.000e+01     
 120.000         180.000           -4.376e-01          -5.058e+01              76.080          -4.377e-01             274.132           4.000e+01     
 119.000         180.000           -4.785e-01          -4.948e+01              86.676          -4.785e-01             274.419           4.000e+01     
 118.000         180.000           -5.183e-01          -4.827e+01              94.887          -5.183e-01             274.699           4.000e+01     
 117.000         180.000           -5.571e-01          -4.706e+01             101.162          -5.572e-01             274.972           4.000e+01     
 116.000         180.000           -5.948e-01          -4.591e+01             105.983          -5.949e-01             275.236           4.000e+01     
 115.000         180.000           -6.315e-01          -4.484e+01             109.732          -6.317e-01             275.493           4.000e+01     
 114.000         180.000           -6.671e-01          -4.384e+01             112.693          -6.673e-01             275.740           4.000e+01     
 113.000         180.000           -7.016e-01          -4.291e+01             115.065          -7.018e-01             275.978           4.000e+01     
 112.000         180.000           -7.349e-01          -4.205e+01             116.992          -7.352e-01             276.205           4.000e+01     
 111.000         180.000           -7.671e-01          -4.125e+01             118.577          -7.675e-01             276.421           4.000e+01     
 110.000         180.000           -7.982e-01          -4.051e+01             119.893          -7.987e-01             276.626           4.000e+01     
 109.000         180.000           -8.281e-01          -3.981e+01             120.997          -8.287e-01             276.819           4.000e+01     
 108.000         180.000           -8.569e-01          -3.916e+01             121.929          -8.575e-01             277.000           4.000e+01     
 107.000         180.000           -8.845e-01          -3.854e+01             122.722          -8.852e-01             277.168           4.000e+01     
 106.000         180.000           -9.109e-01          -3.796e+01             123.399          -9.118e-01             277.322           4.000e+01     
 105.000         180.000           -9.362e-01          -3.741e+01             123.981          -9.372e-01             277.463           4.000e+01     
 104.000         180.000           -9.603e-01          -3.689e+01             124.482          -9.614e-01             277.589           4.000e+01     
 103.000         180.000           -9.832e-01          -3.640e+01             124.915          -9.845e-01             277.700           4.000e+01     
 102.000         180.000           -1.005e+00          -3.593e+01             125.290          -1.006e+00             277.796           4.000e+01     
 101.000         180.000           -1.026e+00          -3.548e+01             125.616          -1.027e+00             277.876           4.000e+01     
 100.000         180.000           -1.045e+00          -3.506e+01             125.898          -1.047e+00             277.941           4.000e+01     
  99.000         180.000           -1.063e+00          -3.465e+01             126.142          -1.065e+00             277.989           4.000e+01     
  98.000         180.000           -1.081e+00          -3.426e+01             126.354          -1.083e+00             278.021           3.965e+01     
  97.000         180.000           -1.097e+00          -3.389e+01             126.537          -1.099e+00             278.036           3.922e+01     
  96.000         180.000           -1.111e+00          -3.353e+01             126.694          -1.114e+00             278.034           3.880e+01     
  95.000         180.000           -1.125e+00          -3.319e+01             126.830          -1.128e+00             278.015           3.840e+01     
  94.000         180.000           -1.138e+00          -3.286e+01             126.945          -1.141e+00             277.978           3.802e+01     
  93.000         180.000           -1.149e+00          -3.254e+01             127.043          -1.152e+00             277.924           3.765e+01     
