Column1.1,Column1.2
               Frequency                         ,S11
               3.5799999                     ,-4.7183283
               3.5840001                     ,-4.7510704
               3.5880001                     ,-4.7831481
                   3.592                     ,-4.8144785
                   3.596                     ,-4.8449814
               3.5999999                     ,-4.874586
               3.6040001                     ,-4.9032234
                   3.608                     ,-4.9308382
                   3.612                     ,-4.9573824
               3.6159999                     ,-4.9828251
               3.6199999                     ,-5.0071425
               3.6240001                     ,-5.0303285
                   3.628                     ,-5.0523882
                   3.632                     ,-5.0733385
               3.6359999                     ,-5.0932096
               3.6400001                     ,-5.1120417
               3.6440001                     ,-5.1298801
                   3.648                     ,-5.1467789
                   3.652                     ,-5.1627951
               3.6559999                     ,-5.1779843
               3.6600001                     ,-5.1924041
                   3.664                     ,-5.2061064
                   3.668                     ,-5.2191357
               3.6719999                     ,-5.2315335
               3.6760001                     ,-5.2433274
               3.6800001                     ,-5.2545383
                   3.684                     ,-5.2651731
                   3.688                     ,-5.2752334
               3.6919999                     ,-5.2847056
               3.6960001                     ,-5.2935693
                     3.7                     ,-5.3017979
                   3.704                      ,-5.3093554
               3.7079999                     ,-5.3162025
               3.7119999                     ,-5.3223022
               3.7160001                     ,-5.3276135
                    3.72                     ,-5.3320993
                   3.724                     ,-5.335729
               3.7279999                     ,-5.3384801
               3.7320001                     ,-5.3403361
               3.7360001                     ,-5.3412953
                    3.74                     ,-5.3413643
                   3.744                     ,-5.3405643
               3.7479999                     ,-5.3389262
               3.7520001                     ,-5.3364946
                   3.756                     ,-5.3333254
                    3.76                     ,-5.3294799
               3.7639999                     ,-5.3250325
               3.7679999                     ,-5.320058
               3.7720001                     ,-5.3146372
                   3.776                     ,-5.30885
                    3.78                     ,-5.3027752
               3.7839999                     ,-5.2964886
               3.7880001                     ,-5.2900535
               3.7920001                     ,-5.2835327
                   3.796                     ,-5.2769749
                     3.8                     ,-5.2704161
               3.8039999                     ,-5.2638824
               3.8080001                     ,-5.2573884
                   3.812                     ,-5.2509351
                   3.816                     ,-5.2445116
               3.8199999                     ,-5.2380979
               3.8239999                     ,-5.2316634
               3.8280001                      ,-5.2251721
                   3.832                     ,-5.2185845
                   3.836                     ,-5.211851
               3.8399999                     ,-5.2049328
               3.8440001                     ,-5.1977833
                   3.848                     ,-5.1903663
                   3.852                     ,-5.1826501
               3.8559999                     ,-5.1746121
               3.8599999                     ,-5.166238
               3.8640001                     ,-5.1575231
                   3.868                     ,-5.1484791
                   3.872                      ,-5.1391255
               3.8759999                     ,-5.1294921
               3.8800001                       ,-5.119622
               3.8840001                     ,-5.1095655
                   3.888                     ,-5.0993806
                   3.892                     ,-5.0891296
               3.8959999                     ,-5.0788802
               3.9000001                     ,-5.0687006
                   3.904                     ,-5.0586557
                   3.908                     ,-5.0488089
               3.9119999                     ,-5.0392169
               3.9159999                     ,-5.0299283
               3.9200001                     ,-5.0209834
                   3.924                     ,-5.0124089
                   3.928                     ,-5.004224
               3.9319999                     ,-4.9964343
               3.9360001                     ,-4.9890326
               3.9400001                      ,-4.982001
                   3.944                     ,-4.9753109
                   3.948                     ,-4.9689245
               3.9519999                     ,-4.9627965
               3.9560001                     ,-4.9568742
                    3.96                     ,-4.9511042
                   3.964                      ,-4.9454285
               3.9679999                     ,-4.9397924
               3.9719999                     ,-4.9341426
               3.9760001                     ,-4.9284344
                    3.98                     ,-4.9226247
                   3.984                      ,-4.916687
               3.9879999                     ,-4.9105973
               3.9920001                     ,-4.9043473
               3.9960001                     ,-4.8979404
                       4                     ,-4.891387
               4.0040002                     ,-4.8847141
               4.0079999                     ,-4.8779545
               4.0120001                     ,-4.8711525
               4.0159998                     ,-4.8643568
                    4.02                     ,-4.8576218
               4.0240002                     ,-4.8510047
               4.0279999                     ,-4.844565
               4.0320001                      ,-4.8383554
               4.0359998                     ,-4.8324297
                    4.04                     ,-4.8268327
               4.0440001                      ,-4.8215985
               4.0479999                     ,-4.816755
                   4.052                     ,-4.8123166
               4.0560002                     ,-4.8082843
               4.0599999                     ,-4.8046472
               4.0640001                     ,-4.8013813
               4.0679998                     ,-4.7984462
                   4.072                     ,-4.7957912
               4.0760002                     ,-4.7933555
               4.0799999                     ,-4.7910626
               4.0840001                     ,-4.7888317
               4.0879998                      ,-4.786572
                   4.092                     ,-4.784189
               4.0960002                     ,-4.7815849
               4.0999999                     ,-4.7786594
               4.1040001                      ,-4.7753162
               4.1079998                     ,-4.7714612
                   4.112                     ,-4.7670057
               4.1160002                     ,-4.7618664
               4.1199999                     ,-4.7559703
               4.1240001                     ,-4.7492554
               4.1279998                     ,-4.7416699
                   4.132                      ,-4.7331705
               4.1360002                     ,-4.7237301
               4.1399999                     ,-4.7133324
               4.1440001                     ,-4.7019729
               4.1479998                     ,-4.6896577
                   4.152                      ,-4.6764071
               4.1560001                     ,-4.6622517
               4.1599998                     ,-4.6472305
                   4.164                     ,-4.6313952
               4.1680002                     ,-4.6148069
               4.1719999                     ,-4.5975316
               4.1760001                     ,-4.5796486
               4.1799998                     ,-4.5612419
                   4.184                     ,-4.5424065
               4.1880002                     ,-4.5232435
               4.1919999                      ,-4.5038602
               4.1960001                      ,-4.4843714
               4.1999998                     ,-4.4649
                   4.204                     ,-4.445575
               4.2080002                     ,-4.4265313
               4.2119999                     ,-4.4079089
               4.2160001                     ,-4.3898515
               4.2199998                     ,-4.3725093
                   4.224                     ,-4.356032
               4.2280002                     ,-4.3405726
               4.2319999                     ,-4.3262824
               4.2360001                     ,-4.3133115
               4.2399998                     ,-4.3018025
                   4.244                     ,-4.2918955
               4.2480001                     ,-4.2837194
               4.2519999                     ,-4.2773931
                   4.256                     ,-4.2730205
               4.2600002                     ,-4.2706906
               4.2639999                     ,-4.2704754
               4.2680001                     ,-4.2724256
               4.2719998                     ,-4.2765713
                   4.276                     ,-4.2829191
               4.2800002                     ,-4.2914508
               4.2839999                     ,-4.3021253
               4.2880001                     ,-4.3148726
               4.2919998                     ,-4.3296019
                   4.296                     ,-4.346196
               4.3000002                     ,-4.3645177
               4.3039999                        ,-4.3844052
               4.3080001                      ,-4.4056834
               4.3119998                     ,-4.4281586
                   4.316                     ,-4.4516311
               4.3200002                     ,-4.4758887
               4.3239999                     ,-4.5007195
               4.3280001                      ,-4.525919
               4.3319998                     ,-4.5512828
                   4.336                     ,-4.5766232
               4.3400002                     ,-4.6017706
               4.3439999                     ,-4.6265738
                   4.348                     ,-4.6509092
               4.3520002                     ,-4.6746832
               4.3559999                     ,-4.6978303
               4.3600001                     ,-4.7203166
               4.3639998                     ,-4.7421407
                   4.368                     ,-4.7633323
               4.3720002                     ,-4.7839508
               4.3759999                     ,-4.8040807
               4.3800001                     ,-4.8238271
               4.3839998                     ,-4.8433161
                   4.388                     ,-4.8626833
               4.3920002                     ,-4.8820725
               4.3959999                     ,-4.9016279
               4.4000001                      ,-4.9214912
               4.4039998                     ,-4.9417926
                   4.408                     ,-4.9626495
               4.4120002                     ,-4.9841581
               4.4159999                     ,-5.0063952
               4.4200001                     ,-5.0294091
               4.4239998                     ,-5.0532244
                   4.428                     ,-5.0778359
               4.4320002                      ,-5.1032106
               4.4359999                     ,-5.1292902
               4.4400001                     ,-5.1559927
