Theta[deg.]      Phi[deg.]       Abs(Gain)[dBi]      Abs(Theta)[dBi]    Phase(Theta)[deg.]    Abs(Phi)[dBi]     Phase(Phi)[deg.]      Ax.Ratio[dB]    
 125.000         180.000            1.498e+00          -3.266e+01              85.505           1.497e+00             292.817           4.000e+01     
 124.000         180.000            1.450e+00          -3.262e+01              86.266           1.448e+00             292.835           4.000e+01     
 123.000         180.000            1.401e+00          -3.259e+01              87.044           1.400e+00             292.852           4.000e+01     
 122.000         180.000            1.354e+00          -3.255e+01              87.838           1.352e+00             292.866           4.000e+01     
 121.000         180.000            1.306e+00          -3.252e+01              88.649           1.305e+00             292.878           4.000e+01     
 120.000         180.000            1.260e+00          -3.249e+01              89.475           1.258e+00             292.888           4.000e+01     
 119.000         180.000            1.214e+00          -3.246e+01              90.317           1.212e+00             292.895           4.000e+01     
 118.000         180.000            1.168e+00          -3.243e+01              91.174           1.166e+00             292.899           4.000e+01     
 117.000         180.000            1.124e+00          -3.241e+01              92.045           1.122e+00             292.900           4.000e+01     
 116.000         180.000            1.080e+00          -3.238e+01              92.931           1.078e+00             292.899           4.000e+01     
 115.000         180.000            1.037e+00          -3.236e+01              93.831           1.035e+00             292.893           4.000e+01     
 114.000         180.000            9.949e-01          -3.233e+01              94.744           9.929e-01             292.885           4.000e+01     
 113.000         180.000            9.538e-01          -3.231e+01              95.669           9.518e-01             292.872           4.000e+01     
 112.000         180.000            9.138e-01          -3.228e+01              96.605           9.117e-01             292.856           4.000e+01     
 111.000         180.000            8.748e-01          -3.226e+01              97.553           8.727e-01             292.836           4.000e+01     
 110.000         180.000            8.369e-01          -3.224e+01              98.511           8.347e-01             292.812           4.000e+01     
 109.000         180.000            8.001e-01          -3.222e+01              99.477           7.979e-01             292.783           4.000e+01     
 108.000         180.000            7.645e-01          -3.219e+01             100.453           7.623e-01             292.750           4.000e+01     
 107.000         180.000            7.302e-01          -3.217e+01             101.435           7.280e-01             292.712           4.000e+01     
 106.000         180.000            6.972e-01          -3.215e+01             102.424           6.949e-01             292.669           4.000e+01     
 105.000         180.000            6.654e-01          -3.212e+01             103.418           6.631e-01             292.621           4.000e+01     
 104.000         180.000            6.350e-01          -3.210e+01             104.416           6.327e-01             292.568           4.000e+01     
 103.000         180.000            6.061e-01          -3.207e+01             105.417           6.037e-01             292.509           4.000e+01     
 102.000         180.000            5.785e-01          -3.204e+01             106.421           5.761e-01             292.446           4.000e+01     
 101.000         180.000            5.524e-01          -3.202e+01             107.425           5.500e-01             292.376           4.000e+01     
 100.000         180.000            5.278e-01          -3.199e+01             108.429           5.253e-01             292.301           4.000e+01     
  99.000         180.000            5.046e-01          -3.196e+01             109.432           5.022e-01             292.220           4.000e+01     
  98.000         180.000            4.831e-01          -3.193e+01             110.432           4.806e-01             292.133           4.000e+01     
  97.000         180.000            4.631e-01          -3.190e+01             111.429           4.605e-01             292.040           4.000e+01     
  96.000         180.000            4.446e-01          -3.187e+01             112.422           4.421e-01             291.942           4.000e+01     
  95.000         180.000            4.278e-01          -3.183e+01             113.409           4.252e-01             291.836           4.000e+01     
  94.000         180.000            4.126e-01          -3.180e+01             114.389           4.100e-01             291.725           4.000e+01     
  93.000         180.000            3.990e-01          -3.177e+01             115.361           3.964e-01             291.608           4.000e+01     
  92.000         180.000            3.871e-01          -3.173e+01             116.326           3.845e-01             291.484           4.000e+01     
  91.000         180.000            3.769e-01          -3.170e+01             117.280           3.742e-01             291.353           4.000e+01     
  90.000         180.000            3.683e-01          -3.166e+01             118.225           3.656e-01             291.217           4.000e+01     
  89.000         180.000            3.614e-01          -3.163e+01             119.158           3.586e-01             291.074           4.000e+01     
