Theta[deg.]     Phi[deg.]         Abs(Gain)[dBi]      Abs(Theta)[dBi]    Phase(Theta)[deg.]   Abs(Phi)[dBi]      Phase(Phi)[deg.]     Ax.Ratio[dB]    
 162.000         270.000            1.635e+00           1.635e+00             109.106          -5.135e+01             348.930           4.000e+01     
 161.000         270.000            1.495e+00           1.495e+00             108.833          -5.105e+01             348.868           4.000e+01     
 160.000         270.000            1.352e+00           1.352e+00             108.558          -5.077e+01             348.817           4.000e+01     
 159.000         270.000            1.204e+00           1.204e+00             108.279          -5.050e+01             348.776           4.000e+01     
 158.000         270.000            1.052e+00           1.052e+00             107.998          -5.024e+01             348.744           4.000e+01     
 157.000         270.000            8.965e-01           8.965e-01             107.714          -4.999e+01             348.722           4.000e+01     
 156.000         270.000            7.368e-01           7.367e-01             107.427          -4.975e+01             348.707           4.000e+01     
 155.000         270.000            5.730e-01           5.730e-01             107.138          -4.951e+01             348.699           4.000e+01     
 154.000         270.000            4.053e-01           4.053e-01             106.846          -4.929e+01             348.699           4.000e+01     
 153.000         270.000            2.337e-01           2.336e-01             106.552          -4.907e+01             348.705           4.000e+01     
 152.000         270.000            5.812e-02           5.806e-02             106.256          -4.887e+01             348.716           4.000e+01     
 151.000         270.000           -1.214e-01          -1.214e-01             105.957          -4.867e+01             348.733           4.000e+01     
 150.000         270.000           -3.048e-01          -3.048e-01             105.657          -4.847e+01             348.755           4.000e+01     
 149.000         270.000           -4.920e-01          -4.921e-01             105.356          -4.829e+01             348.781           4.000e+01     
 148.000         270.000           -6.831e-01          -6.832e-01             105.052          -4.811e+01             348.812           4.000e+01     
 147.000         270.000           -8.781e-01          -8.782e-01             104.748          -4.793e+01             348.847           4.000e+01     
 146.000         270.000           -1.077e+00          -1.077e+00             104.442          -4.777e+01             348.885           4.000e+01     
 145.000         270.000           -1.280e+00          -1.280e+00             104.136          -4.761e+01             348.926           4.000e+01     
 144.000         270.000           -1.486e+00          -1.486e+00             103.829          -4.745e+01             348.970           4.000e+01     
 143.000         270.000           -1.696e+00          -1.696e+00             103.522          -4.730e+01             349.017           4.000e+01     
 142.000         270.000           -1.910e+00          -1.910e+00             103.215          -4.716e+01             349.066           4.000e+01     
 141.000         270.000           -2.128e+00          -2.128e+00             102.909          -4.702e+01             349.118           4.000e+01     
 140.000         270.000           -2.350e+00          -2.350e+00             102.603          -4.689e+01             349.171           4.000e+01     
 139.000         270.000           -2.575e+00          -2.575e+00             102.299          -4.676e+01             349.226           4.000e+01     
 138.000         270.000           -2.804e+00          -2.804e+00             101.996          -4.663e+01             349.282           4.000e+01     
 137.000         270.000           -3.037e+00          -3.037e+00             101.696          -4.651e+01             349.339           4.000e+01     
 136.000         270.000           -3.274e+00          -3.274e+00             101.398          -4.640e+01             349.397           4.000e+01     
